t,x,y
2.120000000E1,7.941605839E1,2.111532847E2
2.160000000E1,6.727007299E1,1.915328467E2
2.200000000E1,7.334306569E1,1.686423358E2
2.240000000E1,7.100729927E1,1.728467153E2
2.280000000E1,7.941605839E1,1.499562044E2
2.320000000E1,1.097810219E2,1.466861314E2
2.360000000E1,1.111824818E2,1.508905109E2
2.400000000E1,8.735766423E1,1.317372263E2
2.440000000E1,7.614598540E1,1.191240876E2
2.480000000E1,7.941605839E1,1.214598540E2
2.520000000E1,8.595620438E1,9.903649635E1
2.560000000E1,9.343065693E1,8.969343066E1
2.600000000E1,9.529927007E1,8.595620438E1
2.640000000E1,1.032408759E2,4.251094891E1
2.680000000E1,1.177226277E2,2.849635036E1
2.720000000E1,1.172554745E2,2.382481752E1
2.760000000E1,1.462189781E2,1.027737226E1
2.800000000E1,1.308029197E2,5.605839416E0
2.840000000E1,1.326715328E2,6.540145985E0
2.880000000E1,8.455474453E1,2.289051095E1
2.920000000E1,6.540145985E1,1.868613139E1
2.960000000E1,6.259854015E1,1.868613139E1
3.000000000E1,2.943065693E1,1.635036496E1
3.040000000E1,2.849635036E1,4.671532847E0
3.080000000E1,2.802919708E1,5.605839416E0
3.120000000E1,3.877372263E1,4.671532847E0
3.160000000E1,5.045255474E1,4.204379562E0
3.200000000E1,5.091970803E1,6.072992701E0
3.240000000E1,7.614598540E1,7.007299270E0
3.280000000E1,7.708029197E1,1.121167883E1
3.320000000E1,7.474452555E1,1.354744526E1
3.360000000E1,5.559124088E1,1.167883212E1
3.400000000E1,2.522627737E1,2.055474453E1
3.440000000E1,2.008759124E1,2.522627737E1
3.480000000E1,7.007299270E0,2.382481752E1
3.520000000E1,9.810218978E0,3.970802920E1
3.560000000E1,6.072992701E0,4.624817518E1
3.600000000E1,1.401459854E1,1.009051095E2
3.640000000E1,1.167883212E1,1.275328467E2
3.680000000E1,1.167883212E1,1.308029197E2
3.720000000E1,1.261313869E1,1.962043796E2
3.760000000E1,1.167883212E1,2.074160584E2
3.800000000E1,1.308029197E1,2.097518248E2
3.840000000E1,1.588321168E1,2.158248175E2
3.880000000E1,1.354744526E1,2.106861314E2
3.920000000E1,1.027737226E1,2.102189781E2
3.960000000E1,7.007299270E0,2.097518248E2
4.000000000E1,2.989781022E1,2.092846715E2
4.040000000E1,3.129927007E1,2.172262774E2
4.080000000E1,7.334306569E1,2.092846715E2
4.120000000E1,1.055766423E2,2.102189781E2
4.160000000E1,1.116496350E2,2.102189781E2
4.200000000E1,1.868613139E2,2.083503650E2
4.240000000E1,2.064817518E2,2.134890511E2
4.280000000E1,2.060145985E2,2.134890511E2
4.320000000E1,2.074160584E2,2.176934307E2
4.360000000E1,2.092846715E2,2.181605839E2
4.400000000E1,2.092846715E2,2.181605839E2
4.440000000E1,1.962043796E2,1.854598540E2
4.480000000E1,1.798540146E2,1.462189781E2
4.520000000E1,1.789197080E2,1.387445255E2
4.560000000E1,1.761167883E2,5.512408759E1
4.600000000E1,1.742481752E2,1.728467153E1
4.640000000E1,1.742481752E2,1.635036496E1
4.680000000E1,2.046131387E2,1.167883212E1
4.720000000E1,2.120875912E2,1.027737226E1
4.760000000E1,2.125547445E2,8.408759124E0
4.800000000E1,2.111532847E2,1.074452555E1
4.840000000E1,2.130218978E2,1.448175182E1
4.880000000E1,2.139562044E2,1.167883212E1
4.920000000E1,2.074160584E2,7.661313869E1
4.960000000E1,2.069489051E2,1.093138686E2
5.000000000E1,2.064817518E2,1.107153285E2
5.040000000E1,2.050802920E2,1.877956204E2
5.080000000E1,2.032116788E2,2.162919708E2
5.120000000E1,2.032116788E2,2.162919708E2
