t,x,y
1,3.53456E+11,2.18399E+11
2,3.62365E+11,2.05035E+11
3,4.0691E+11,25964745750
4,4.09583E+11,38437327810
5,3.08911E+11,21510252160
6,3.09802E+11,26855644470
7,2.43876E+11,28637441910
8,2.41203E+11,26855644470
9,2.70603E+11,64273390630
10,2.6793E+11,58037099610
11,3.24057E+11,1.47127E+11
12,3.24057E+11,1.42672E+11
13,3.65929E+11,2.10381E+11
14,3.6682E+11,2.05035E+11
15,4.13146E+11,2.16617E+11
16,4.0691E+11,2.13944E+11
17,3.96219E+11,2.28199E+11
18,3.98892E+11,2.28199E+11
19,3.96219E+11,3.11052E+11
20,3.94438E+11,3.23525E+11
21,4.00674E+11,4.09051E+11
22,3.96219E+11,4.04597E+11
23,3.9711E+11,4.01924E+11
24,4.00674E+11,3.94797E+11
25,4.07801E+11,3.9747E+11
26,3.98892E+11,3.89451E+11
27,4.15819E+11,3.84106E+11
28,4.15819E+11,3.7787E+11
29,3.54347E+11,3.9747E+11
30,3.49002E+11,3.95688E+11
31,2.60803E+11,3.9747E+11
32,2.42985E+11,3.95688E+11
33,50550685770,3.90342E+11
34,55005179360,3.91233E+11
35,14023838330,3.94797E+11
36,22932825510,3.93906E+11
37,12242040890,3.71633E+11
38,9569344736,3.61834E+11
39,13132939610,2.82544E+11
40,17587433200,2.82544E+11
41,13132939610,1.47127E+11
42,22932825510,1.51581E+11
43,14023838330,17946657290
44,11351142170,15273961130
45,21151028070,13492163700
46,36296306280,11710366260
47,18478331920,19728454730
48,17587433200,19728454730
49,14023838330,50019011140
50,13132939610,40219125240
51,14914737040,76745972690
52,18478331920,69618782940
53,1.43204E+11,13492163700
54,1.40531E+11,11710366260
55,3.35638E+11,25964745750
56,3.24947E+11,27746543190
57,4.15819E+11,24182948320
58,4.11365E+11,17946657290
59,4.19383E+11,11710366260
60,4.19383E+11,10819467540
61,4.18492E+11,74964175250
62,4.14037E+11,81200466280
63,4.08692E+11,1.23964E+11
64,4.14037E+11,1.16836E+11
65,4.0691E+11,1.16836E+11
66,4.0691E+11,1.11491E+11
67,3.75729E+11,2.21072E+11
68,3.79292E+11,2.27308E+11
69,3.70383E+11,3.60943E+11
70,3.72165E+11,3.50252E+11
71,3.95328E+11,3.99251E+11
72,3.99783E+11,3.9836E+11
73,3.38311E+11,4.14397E+11
74,3.31184E+11,4.12615E+11
75,4.23837E+11,4.20633E+11
76,4.08692E+11,4.09051E+11
77,4.03347E+11,3.94797E+11
78,4.12256E+11,3.94797E+11
79,3.29402E+11,3.84997E+11
80,3.18711E+11,3.79652E+11
81,2.4833E+11,3.81433E+11
82,2.63475E+11,3.83215E+11
83,2.26949E+11,2.54926E+11
84,2.29621E+11,2.54035E+11
85,1.03114E+11,2.82544E+11
86,1.08459E+11,2.81653E+11
87,41641698590,4.0816E+11
88,38969002430,4.0816E+11
89,16696534480,3.9747E+11
90,14023838330,3.88561E+11
91,14914737040,3.99251E+11
92,14914737040,3.89451E+11
93,8678446018,4.07269E+11
94,14023838330,3.9836E+11
95,39859901150,4.12615E+11
96,50550685770,4.12615E+11
97,14914737040,3.96579E+11
98,14914737040,3.8767E+11
99,14023838330,3.76088E+11
100,14023838330,3.74306E+11
101,27387319100,2.97689E+11
102,21151028070,2.87889E+11
103,1.31622E+11,3.11052E+11
104,1.18259E+11,3.09271E+11
105,1.40531E+11,3.85888E+11
106,1.42313E+11,3.90342E+11
107,1.15586E+11,3.82324E+11
108,1.23604E+11,3.82324E+11
109,1.02223E+11,3.93906E+11
110,1.02223E+11,3.93906E+11
111,2.09131E+11,3.82324E+11
112,2.11803E+11,3.84106E+11
113,2.18931E+11,4.01924E+11
114,2.19821E+11,3.9747E+11
115,3.78401E+11,3.99251E+11
116,3.93547E+11,3.96579E+11
117,3.96219E+11,3.66288E+11
118,3.98892E+11,3.57379E+11
119,3.98892E+11,3.49361E+11
120,3.98892E+11,3.41343E+11
121,3.89983E+11,3.81433E+11
122,3.91765E+11,3.94797E+11
123,3.9711E+11,3.84106E+11
124,4.01565E+11,3.96579E+11
125,3.98001E+11,4.15287E+11
126,3.91765E+11,4.11724E+11
127,3.96219E+11,4.01033E+11
128,3.91765E+11,3.84997E+11
129,4.12256E+11,3.64506E+11
130,4.18492E+11,3.49361E+11
131,3.8731E+11,3.02143E+11
132,3.93547E+11,3.00362E+11
133,3.90874E+11,2.28199E+11
134,3.98892E+11,2.35326E+11
135,4.00674E+11,1.14164E+11
136,3.98892E+11,1.05255E+11
137,3.96219E+11,82091365000
138,3.89983E+11,76745972690
139,3.30293E+11,16164859850
140,3.41875E+11,15273961130
141,3.78401E+11,13492163700
