t,x,y
8.800000000E0,1.370101597E2,2.117851959E2
9.200000000E0,1.565166909E2,2.117851959E2
9.600000000E0,1.778809869E2,1.997097242E2
1.000000000E1,2.062119013E2,2.029608128E2
1.040000000E1,2.085341074E2,2.099274311E2
1.080000000E1,1.983164006E2,2.141074020E2
1.120000000E1,1.853120464E2,2.136429608E2
1.160000000E1,1.890275762E2,2.057474601E2
1.200000000E1,2.038896952E2,1.908853411E2
1.240000000E1,2.076052250E2,1.811320755E2
1.280000000E1,2.048185776E2,1.639477504E2
1.320000000E1,2.011030479E2,1.750943396E2
1.360000000E1,2.136429608E2,2.057474601E2
1.400000000E1,2.062119013E2,2.275761974E2
1.440000000E1,1.820609579E2,2.215384615E2
1.480000000E1,1.704499274E2,2.173584906E2
1.520000000E1,1.560522496E2,2.159651669E2
1.560000000E1,2.006386067E2,1.904208999E2
1.600000000E1,2.099274311E2,1.764876633E2
1.640000000E1,2.085341074E2,1.453701016E2
1.680000000E1,2.196806967E2,1.709143687E2
1.720000000E1,2.210740203E2,1.941364296E2
1.760000000E1,2.099274311E2,1.625544267E2
1.800000000E1,2.127140784E2,1.202902758E2
1.840000000E1,2.108563135E2,8.870827286E1
1.880000000E1,2.127140784E2,6.037735849E1
1.920000000E1,2.127140784E2,4.923076923E1
1.960000000E1,2.085341074E2,6.177068215E1
2.000000000E1,2.029608128E2,2.461538462E1
2.040000000E1,2.103918723E2,1.300435414E1
2.080000000E1,2.187518142E2,2.089985486E1
2.120000000E1,2.136429608E2,2.507982583E1
2.160000000E1,1.941364296E2,1.300435414E1
2.200000000E1,1.792743106E2,1.439767779E1
2.240000000E1,1.894920174E2,2.740203193E1
2.280000000E1,2.150362845E2,3.158200290E1
2.320000000E1,2.196806967E2,3.111756168E1
2.360000000E1,2.215384615E2,9.753265602E0
2.400000000E1,2.122496372E2,1.950653120E1
2.440000000E1,2.159651669E2,4.179970972E1
2.480000000E1,2.164296081E2,6.687953556E1
2.520000000E1,2.076052250E2,5.480406386E1
2.560000000E1,2.001741655E2,3.529753266E1
2.600000000E1,1.764876633E2,1.950653120E1
2.640000000E1,1.277213353E2,1.811320755E1
2.680000000E1,5.898403483E1,1.393323657E1
2.720000000E1,2.182873730E1,1.904208999E1
2.760000000E1,1.068214804E1,1.764876633E1
2.800000000E1,5.573294630E0,1.161103048E1
2.840000000E1,1.114658926E1,8.359941945E0
2.880000000E1,1.439767779E1,9.288824383E0
2.920000000E1,1.950653120E1,1.857764877E1
2.960000000E1,3.715529753E1,1.532656023E1
3.000000000E1,4.505079826E1,1.346879536E1
3.040000000E1,3.390420900E1,2.647314949E1
3.080000000E1,2.322206096E1,1.439767779E1
3.120000000E1,1.439767779E1,1.068214804E1
3.160000000E1,1.997097242E1,3.436865022E1
3.200000000E1,2.368650218E1,4.830188679E1
